time,temperature,humidity
2024-01-09 03:43:36.830216,21.1,48
2024-01-09 03:44:36.846806,21.1,48.1
2024-01-09 03:45:36.865340,21.1,48.1
2024-01-09 03:46:36.878248,21.1,48
2024-01-09 03:47:36.896234,21.1,48.1
2024-01-09 03:48:36.909377,21.1,48.1
2024-01-09 03:49:36.926455,21.1,48
2024-01-09 03:50:36.940141,21.1,48
2024-01-09 03:51:36.960228,21.1,48.1
2024-01-09 03:52:36.976936,21.1,48.1
2024-01-09 03:53:36.995086,21.1,48.1
2024-01-09 03:54:37.008968,21.1,48.1
2024-01-09 03:55:37.028764,21,48.1
2024-01-09 03:56:37.041731,21.1,48.1
2024-01-09 03:57:37.057973,21.1,48.1
2024-01-09 03:58:37.071159,21,48
2024-01-09 03:59:37.086740,21,48.1
2024-01-09 04:00:37.099416,21.1,48
2024-01-09 04:01:37.115824,21,48.1
2024-01-09 04:02:37.128850,21,48
2024-01-09 04:03:37.145988,21.1,48
2024-01-09 04:04:37.157966,21.1,48
2024-01-09 04:05:37.170531,21,48.1
2024-01-09 04:06:37.185424,21,48
2024-01-09 04:07:37.204960,21,48.1
2024-01-09 04:08:37.217176,21,48.1
2024-01-09 04:09:37.230017,21,48.1
2024-01-09 04:10:37.243368,21,48.1
2024-01-09 04:11:37.256091,21,48.1
2024-01-09 04:12:37.268643,21,48
2024-01-09 04:13:37.280600,21,48.1
2024-01-09 04:14:37.296570,21,48.1
2024-01-09 04:15:37.309753,21,48.1
2024-01-09 04:16:37.326714,21,48.1
2024-01-09 04:17:37.340178,21,48
2024-01-09 04:18:37.355271,21,48.1
2024-01-09 04:19:37.369342,21,48.1
2024-01-09 04:20:37.384273,21,48.1
2024-01-09 04:21:37.402253,21,48.1
2024-01-09 04:22:37.417326,21,48
2024-01-09 04:23:37.427707,21,48
2024-01-09 04:24:37.441129,21,48.1
2024-01-09 04:25:37.459691,21,48.1
2024-01-09 04:26:37.476456,21,48
2024-01-09 04:27:37.489607,21,48
2024-01-09 04:28:37.506575,21,48
2024-01-09 04:29:37.519206,21,48
2024-01-09 04:30:37.534827,21,48
2024-01-09 04:31:37.547673,21,48
2024-01-09 04:32:37.565692,21,48
2024-01-09 04:33:37.580608,21,48
2024-01-09 04:34:37.595219,21,48
2024-01-09 04:35:37.608291,21,48
2024-01-09 04:36:37.628930,21,48
2024-01-09 04:37:37.643931,21,48
2024-01-09 04:38:37.659131,21,48
2024-01-09 04:39:37.675518,21,48
2024-01-09 04:40:37.688049,21,48
2024-01-09 04:41:37.700792,21,48
2024-01-09 04:42:37.716976,21,48
2024-01-09 04:43:37.729689,21,48
2024-01-09 04:44:37.746681,21,48
2024-01-09 04:45:37.765616,21,48
2024-01-09 04:46:37.783649,21,48
2024-01-09 04:47:37.798421,21,48
